intercept,intercept_sigma,dom_eff,dom_eff_sigma,hole_ice_p0,hole_ice_p0_sigma,hole_ice_p1,hole_ice_p1_sigma,bulk_ice_abs,bulk_ice_abs_sigma,bulk_ice_scatter,bulk_ice_scatter_sigma,deltam31,pid,reco_coszen,reco_energy
1.232223,0.066205,3.927646,0.977526,-0.106231,0.327577,2.642804,1.643972,0.921297,2.347223,2.749335,2.345602,0.001500,0.88,-0.175,42.8
1.014187,0.036882,1.059630,0.621125,-0.452553,0.191221,-1.349491,1.174683,0.998637,1.558601,-0.100722,1.557271,0.001500,0.65,-0.065,42.8
0.912537,0.062210,2.146317,0.815867,0.284680,0.238273,-1.288298,1.641063,-0.122420,2.104864,-0.015199,2.104921,0.001500,0.88,-0.065,42.8
0.975750,0.043136,2.702636,0.708558,-0.322436,0.209936,-0.820694,1.180554,-3.497472,1.669059,1.591505,1.669317,0.001500,0.65,0.045,42.8
1.003970,0.073865,3.891845,1.321933,-0.915434,0.347672,-3.999728,2.392503,-4.253369,2.307303,-1.717493,2.247495,0.001500,0.88,0.045,42.8
1.290198,0.060866,2.168631,0.878042,0.341844,0.262632,-1.440124,1.620770,-0.876503,2.202170,-3.066785,2.216516,0.001500,0.65,-0.945,57.4
1.123818,0.034377,1.575546,0.618082,0.154512,0.154871,0.919422,1.003306,-0.989886,1.312771,-2.148163,1.315025,0.001500,0.88,-0.945,57.4
0.957415,0.039315,2.861190,0.500189,0.199704,0.180698,1.150565,1.134529,-0.435096,1.656354,0.867639,1.665550,0.001500,0.65,-0.835,57.4
1.068518,0.033671,2.529009,0.548466,0.296019,0.146480,1.655853,1.044642,-1.355544,1.295389,-1.720746,1.300530,0.001500,0.88,-0.835,57.4
1.005842,0.037278,1.994040,0.642726,0.172685,0.171896,-0.168073,1.157869,-0.313045,1.637853,-1.142029,1.631977,0.001500,0.65,-0.725,57.4
0.929506,0.030402,2.062200,0.460759,0.346723,0.124308,0.759248,0.887813,0.450741,1.248707,-1.535666,1.248630,0.001500,0.88,-0.725,57.4
1.085644,0.037196,1.997628,0.633768,-0.034285,0.178633,-0.843986,1.080542,1.977949,1.428071,-0.002502,1.402834,0.001500,0.65,-0.615,57.4
1.211611,0.037805,1.469588,0.642813,-0.196330,0.201782,-1.202116,1.284250,-0.645716,1.517050,-0.991384,1.516214,0.001500,0.88,-0.615,57.4
1.079458,0.031322,1.557954,0.561712,-0.357658,0.176179,-1.638523,0.917867,-0.397941,1.505919,-1.096587,1.505927,0.001500,0.65,-0.505,57.4
0.862656,0.026668,2.013354,0.478331,-0.337137,0.132532,-0.901486,0.892054,-1.012114,1.112387,-0.440028,1.102205,0.001500,0.88,-0.505,57.4
0.926416,0.027953,2.369417,0.429643,-0.014148,0.127203,1.533313,0.821312,0.403250,0.976247,0.329640,0.976440,0.001500,0.65,-0.395,57.4
1.024655,0.039852,0.917709,0.707782,-0.198435,0.190620,-0.553746,1.298205,-0.366199,1.419034,-0.630976,1.416536,0.001500,0.88,-0.395,57.4
0.991211,0.031806,1.870406,0.516851,0.230770,0.132745,-0.437250,0.917468,-0.774974,1.447114,-1.099391,1.450560,0.001500,0.65,-0.285,57.4
0.819808,0.036676,1.781770,0.582490,0.142424,0.170703,0.321148,1.035423,-2.655039,1.397139,-0.211470,1.380711,0.001500,0.88,-0.285,57.4
1.069684,0.041469,3.145048,0.727258,-0.392447,0.203922,-2.377249,1.278678,-3.901919,1.474402,0.356221,1.451989,0.001500,0.65,-0.175,57.4
1.026320,0.057976,3.500132,0.790023,-0.490036,0.254339,-1.875770,1.785681,-1.682318,2.516391,3.557057,2.464013,0.001500,0.88,-0.175,57.4
0.978022,0.042464,2.850665,0.730319,-0.090782,0.204360,0.968187,1.393933,-1.400508,1.697677,1.513970,1.711020,0.001500,0.65,-0.065,57.4
0.900213,0.063332,2.865539,1.204407,-0.365025,0.340549,-1.741165,1.984928,-0.771118,2.293295,1.186886,2.289606,0.001500,0.88,-0.065,57.4
0.934757,0.053275,2.997965,0.745617,-0.010511,0.247633,-0.002855,1.343114,1.136661,2.214865,0.401946,2.219211,0.001500,0.65,0.045,57.4
0.861085,0.083912,2.803852,1.403480,-0.071430,0.370883,-0.724819,2.223361,-1.272397,3.257441,0.642750,3.187548,0.001500,0.88,0.045,57.4
1.188997,0.088262,3.150322,1.202140,-0.043971,0.425004,1.141417,2.613643,-2.116307,3.135825,-1.254338,3.164861,0.001500,0.65,-0.945,77.0
0.952647,0.036836,0.857327,0.684297,-0.356567,0.176592,-1.212176,1.184622,-2.613901,1.674349,-0.137296,1.660756,0.001500,0.88,-0.945,77.0
0.516084,0.033092,1.301655,0.596477,-0.017891,0.150456,1.523702,0.916449,-2.573406,1.183053,-0.898305,1.150865,0.001500,0.65,-0.835,77.0
