intercept,intercept_sigma,dom_eff,dom_eff_sigma,hole_ice_p0,hole_ice_p0_sigma,hole_ice_p1,hole_ice_p1_sigma,bulk_ice_abs,bulk_ice_abs_sigma,bulk_ice_scatter,bulk_ice_scatter_sigma,deltam31,pid,reco_coszen,reco_energy
1.101746,0.035060,0.747448,0.560324,-0.299673,0.183052,0.214466,1.102501,-0.823969,1.495845,0.197237,1.495946,0.001500,0.88,-0.505,42.8
0.949466,0.014225,1.109637,0.230484,-0.043447,0.069890,0.424799,0.431438,0.335927,0.595447,-0.163592,0.596861,0.001500,0.65,-0.395,42.8
0.944599,0.028625,0.461273,0.465999,-0.351422,0.143772,0.441246,0.939681,-0.088716,1.157137,-1.215069,1.166344,0.001500,0.88,-0.395,42.8
0.908826,0.013287,1.167235,0.212063,-0.047271,0.063219,0.034610,0.400957,-0.700866,0.559710,-1.352825,0.561800,0.001500,0.65,-0.285,42.8
1.102830,0.033406,1.454619,0.528707,0.000741,0.160526,-0.004856,1.015959,-2.661642,1.314292,-0.494378,1.306346,0.001500,0.88,-0.285,42.8
1.034757,0.015312,1.236595,0.248720,-0.145792,0.075398,0.463289,0.484652,0.026582,0.639469,-1.078672,0.642454,0.001500,0.65,-0.175,42.8
0.966175,0.028082,0.412093,0.472558,-0.268742,0.141028,-0.216656,0.876841,-1.157072,1.162280,-0.758015,1.159157,0.001500,0.88,-0.175,42.8
1.082329,0.016760,1.502473,0.263415,-0.060987,0.081970,0.360893,0.506882,-0.255120,0.711452,-0.871952,0.714406,0.001500,0.65,-0.065,42.8
1.148348,0.033347,1.730224,0.539418,0.124891,0.157785,-0.519758,1.003335,0.229435,1.296283,-0.135647,1.298606,0.001500,0.88,-0.065,42.8
0.998617,0.016602,0.875393,0.270900,-0.042988,0.080876,-0.062571,0.499006,0.511265,0.700599,-0.651738,0.703341,0.001500,0.65,0.045,42.8
0.909617,0.028348,1.100287,0.477481,-0.420861,0.142916,0.462982,0.892636,-1.796825,1.223900,1.488300,1.215680,0.001500,0.88,0.045,42.8
0.930362,0.036879,1.287325,0.550044,0.179783,0.167440,1.227476,1.117423,-0.716056,1.649018,-0.338939,1.653442,0.001500,0.65,-0.945,57.4
0.752460,0.051782,0.019008,0.766799,0.088049,0.253735,0.939097,1.527677,-1.488029,1.973735,1.777205,1.948674,0.001500,0.88,-0.945,57.4
1.116091,0.030817,1.604975,0.497613,0.528966,0.134864,1.747479,0.885907,0.268137,1.297859,0.292892,1.299995,0.001500,0.65,-0.835,57.4
1.209803,0.059225,2.093430,0.898924,0.368825,0.275144,2.567207,1.809699,0.018640,2.423164,0.347559,2.424796,0.001500,0.88,-0.835,57.4
0.923472,0.021938,1.173909,0.345030,0.222090,0.102709,2.232585,0.626800,-0.972423,0.924723,-0.982518,0.926289,0.001500,0.65,-0.725,57.4
0.973936,0.040143,1.103340,0.658612,0.118640,0.181067,-1.528573,1.196193,-0.065797,1.684106,2.463303,1.683776,0.001500,0.88,-0.725,57.4
1.053355,0.022073,0.756999,0.340165,0.327463,0.100957,1.197696,0.649049,-1.385651,0.926892,-1.539560,0.926984,0.001500,0.65,-0.615,57.4
1.318811,0.049122,2.223921,0.773035,-0.309324,0.254283,1.515849,1.569201,-1.826024,2.018292,1.014981,2.013906,0.001500,0.88,-0.615,57.4
1.003728,0.019653,0.590080,0.317253,-0.023418,0.096660,0.512256,0.625941,-2.054094,0.758695,-2.175823,0.759739,0.001500,0.65,-0.505,57.4
1.041529,0.038191,0.799591,0.595005,0.112902,0.187411,3.278447,1.113612,1.202429,1.544294,-0.654571,1.554520,0.001500,0.88,-0.505,57.4
0.990928,0.017836,1.705135,0.285670,0.086288,0.085593,1.890410,0.536273,-0.144940,0.732621,-1.348759,0.736593,0.001500,0.65,-0.395,57.4
1.062007,0.036618,1.403436,0.603402,-0.096360,0.181745,0.160256,1.103481,0.825284,1.446722,-2.011373,1.461611,0.001500,0.88,-0.395,57.4
0.968000,0.017018,0.920010,0.281743,-0.151129,0.086080,0.654368,0.526102,-0.351201,0.728394,0.048971,0.727736,0.001500,0.65,-0.285,57.4
1.063428,0.035692,2.185667,0.572036,-0.358192,0.193419,0.808010,1.103484,-0.210129,1.403315,1.069318,1.402410,0.001500,0.88,-0.285,57.4
1.014871,0.018365,1.215347,0.296613,-0.280253,0.094542,-0.397109,0.571836,1.281455,0.788389,-0.801526,0.791576,0.001500,0.65,-0.175,57.4
1.191099,0.039356,0.161053,0.643311,-0.319479,0.203714,1.145730,1.219831,-2.008508,1.614082,1.310072,1.599451,0.001500,0.88,-0.175,57.4
1.004554,0.018319,0.902643,0.310672,-0.178129,0.089466,-1.046256,0.562952,0.768832,0.782268,-0.327861,0.784119,0.001500,0.65,-0.065,57.4
