Mon Apr  3 16:01:39 2023    output.dat

         348330 function calls (343552 primitive calls) in 3.735 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      181    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      181    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      181    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
    181/9    0.000    0.000    0.259    0.029 <frozen importlib._bootstrap_external>:877(exec_module)
      181    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      181    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      181    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      181    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      170    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:2061(setWhitespaceChars)
      170    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3439(<genexpr>)
      169    0.000    0.000    0.000    0.000 /usr/lib/python3.10/inspect.py:2680(name)
      165    0.001    0.000    0.170    0.001 /home/pablofer/Pheno/Fitter/Pynu/PyNu/PhysicsTunes/PhysicsTunes.py:103(Get)
      160    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:658(__iter__)
      160    0.000    0.000    0.026    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:3292(<genexpr>)
      159    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:912(_added_new)
      159    0.000    0.000    0.016    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2302(fixup_namespace_packages)
      159    0.000    0.000    0.025    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2789(activate)
      159    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2906(<listcomp>)
      159    0.001    0.000    0.002    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2880(insert_on)
      156    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      155    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      153    0.000    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/numpy/core/_internal.py:630(consume_until)
      150    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      150    0.004    0.000    0.004    0.000 {built-in method _codecs.utf_8_decode}
      150    0.000    0.000    0.004    0.000 /usr/lib/python3.10/codecs.py:319(decode)
      148    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      148    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
    148/3    0.001    0.000    0.002    0.001 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1370(_parseNoCache)
      148    0.000    0.000    0.000    0.000 /usr/lib/python3.10/warnings.py:181(_add_filter)
      147    0.000    0.000    0.000    0.000 /usr/lib/python3.10/warnings.py:437(__init__)
      147    0.000    0.000    0.000    0.000 /usr/lib/python3.10/warnings.py:458(__enter__)
      147    0.000    0.000    0.000    0.000 /usr/lib/python3.10/warnings.py:477(__exit__)
      145    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      144    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
      144    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:3158(_always_object)
      144    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:3168(_find_adapter)
      144    0.000    0.000    0.000    0.000 /usr/lib/python3.10/inspect.py:606(getmro)
      144    0.000    0.000    0.000    0.000 /home/pablofer/.local/lib/python3.10/site-packages/numpy/core/_internal.py:696(<lambda>)
      144    0.000    0.000    0.001    0.000 /usr/lib/python3.10/warnings.py:165(simplefilter)
      144    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:565(_find_module_shim)
      144    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1516(find_loader)
      143    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      143    0.000    0.000    0.000    0.000 /usr/lib/python3.10/abc.py:117(__instancecheck__)
   142/81    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:1247(__hash__)
      141    0.000    0.000    0.000    0.000 /usr/lib/python3.10/inspect.py:2684(default)
      140    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:206(_collect_type_vars)
